"species","latitude","longitude","date_obs","source"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",47.42219,0.67848,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-23,"gbif"
"Barbastella barbastellus",49.16217,-1.45788,2022-03-24,"gbif"
"Barbastella barbastellus",44.17961,0.68582,2022-03-19,"gbif"
"Barbastella barbastellus",43.58005,-1.27203,2022-03-25,"gbif"
"Barbastella barbastellus",47.5760923581,4.4511876514,2026-05-30,"inat"
"Barbastella barbastellus",45.7909131959,0.5504765402,2026-05-23,"inat"
"Barbastella barbastellus",47.9112537471,4.567649658,2025-07-31,"inat"
"Barbastella barbastellus",44.3751253044,3.989373879,2026-05-02,"inat"
"Barbastella barbastellus",44.1343248038,4.5443802348,2026-04-18,"inat"
"Barbastella barbastellus",48.2179303482,-1.5352565525,2024-11-25,"inat"
"Barbastella barbastellus",48.0240827,-2.9796482952,2024-12-03,"inat"
"Barbastella barbastellus",45.2198971163,1.2067197809,2026-04-17,"inat"
"Barbastella barbastellus",45.3844073939,1.2862503212,2026-04-17,"inat"
"Barbastella barbastellus",45.8366858303,1.3190397609,2025-04-06,"inat"
"Barbastella barbastellus",45.829985473,1.2807173649,2025-04-13,"inat"
"Barbastella barbastellus",44.0115323371,4.2359194659,2026-04-01,"inat"
"Barbastella barbastellus",45.3825634181,5.8747797009,2025-11-10,"inat"
"Barbastella barbastellus",45.745909286,5.1842594457,2025-09-25,"inat"
"Barbastella barbastellus",43.537753435,-0.1196275755,2025-09-03,"inat"
"Barbastella barbastellus",43.8334076876,2.2228730325,2026-02-15,"inat"
"Barbastella barbastellus",47.2734017833,6.161451739,2026-02-01,"inat"
"Barbastella barbastellus",44.2721789638,3.3756943334,2026-01-31,"inat"
"Barbastella barbastellus",45.1703297499,5.5062731776,2026-01-24,"inat"
"Barbastella barbastellus",44.4910440603,4.3280749227,2026-01-20,"inat"
"Barbastella barbastellus",47.2884815495,4.6921990089,2023-01-22,"inat"
"Barbastella barbastellus",43.7957459019,6.3619653059,2026-01-11,"inat"
"Barbastella barbastellus",45.581632073,4.7451911274,2026-01-12,"inat"
"Barbastella barbastellus",47.8157350743,-2.7170217919,2025-04-23,"inat"
"Barbastella barbastellus",43.7166156558,6.3515512368,2026-01-11,"inat"
"Barbastella barbastellus",43.9759261483,3.663813377,2026-01-09,"inat"
"Barbastella barbastellus",48.6506342465,3.5017657335,2026-01-08,"inat"
"Barbastella barbastellus",48.7453560361,3.4680550751,2026-01-08,"inat"
"Barbastella barbastellus",47.549059443,4.8111299753,2022-05-29,"inat"
"Barbastella barbastellus",45.6105486074,6.0571383915,2025-12-27,"inat"
"Barbastella barbastellus",45.7471869119,5.7992731714,2025-12-23,"inat"
